Sector Code,Sector,Industry Code,Industry,Disclosure Topic Code,Disclosure Topic,Accounting Metric Code,Accounting Metric,Technical Protocol Code,Technical Protocol,TP Footnote Number,TP Footnote,Technical Protocol Bullet Point 1,TP_BP1 Footnote Number,TP_BP1 Footnote,Sub-Bullet Points for Bullet Point 1,TP_BP1_Sub Footnote Number,TP_BP1_Sub Footnote,Technical Protocol Bullet Point 2,TP_BP2 Footnote Number,TP_BP2 Footnote,Sub-Bullet Points for Bullet Point 2,TP_BP2_Sub Footnote Number,TP_BP2_Sub Footnote,Technical Protocol Bullet Point 3,TP_BP3 Footnote Number,TP_BP3 Footnote,Sub-Bullet Points for Bullet Point 3,TP_BP3_Sub Footnote Number,TP_BP3_Sub Footnote,Technical Protocol Bullet Point 4,TP_BP4 Footnote Number,TP_BP4 Footnote,Sub-Bullet Points for Bullet Point 4,TP_BP4_Sub Footnote Number,TP_BP4_Sub Footnote,Technical Protocol Bullet Point 5,TP_BP5 Footnote Number,TP_BP5 Footnote,Sub-Bullet Points for Bullet Point 5,TP_BP5_Sub Footnote Number,TP_BP5_Sub Footnote,Technical Protocol Bullet Point 6,TP_BP6 Footnote Number,TP_BP6 Footnote,Sub-Bullet Points for Bullet Point 6,TP_BP6_Sub Footnote Number,TP_BP6_Sub Footnote,Technical Protocol Bullet Point 7,TP_BP7 Footnote Number,TP_BP7 Footnote,Sub-Bullet Points for Bullet Point 7,TP_BP7_Sub Footnote Number,TP_BP7_Sub Footnote,Technical Protocol Bullet Point 8,TP_BP8 Footnote Number,TP_BP8 Footnote,Sub-Bullet Points for Bullet Point 8,TP_BP8_Sub Footnote Number,TP_BP8_Sub Footnote,Technical Protocol Bullet Point 9,TP_BP9 Footnote Number,TP_BP9 Footnote,Sub-Bullet Points for Bullet Point 9,TP_BP9_Sub Footnote Number,TP_BP9_Sub Footnote,Technical Protocol Bullet Point 10,TP_BP10 Footnote Number,TP_BP10 Footnote,Sub-Bullet Points for Bullet Point 10,TP_BP10_Sub Footnote Number,TP_BP10_Sub Footnote,Technical Protocol Bullet Point 11,TP_BP11 Footnote Number,TP_BP11 Footnote,Sub-Bullet Points for Bullet Point 11,TP_BP11_Sub Footnote Number,TP_BP11_Sub Footnote
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.1,The entity shall discuss the processes it uses to verify that its products are in compliance with the restricted substances regulations to which the entity is subject., , ,"Restricted substances regulations are defined as laws, rules, and regulations that restrict or ban the use of certain materials, chemicals, and substances in finished home textile, apparel, and footwear products.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.2,"The entity shall discuss its use of finished product and product input laboratory testing and verification, restricted substance lists (RSL), material supplier (i.e., vendor) agreements, and/or input stream management.", , ,"An RSL is defined as a list of chemicals that the entity restricts from inclusion in materials, components, and products that it produces. This list typically includes the common names of the chemicals, the Chemical Abstracts Service (CAS) numbers, the restriction levels in the final product or tested component, and the test method.", ,, , ,,Material supplier agreements are defined as contracts between the entity and its manufacturing suppliers that limit regulated substances to their restricted levels in the products that the supplier manufactures., ,, , ,,"Input stream management is defined as a preventive process for monitoring and optimizing chemical recipes, proactive reactants and reagents, or material inputs.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.3,"The entity shall discuss the verification and testing processes it employs to confirm that its materials maintain compliance with restricted substances regulations, including:", , ,Whether the entity tests each product input or finished products, ,,• Product inputs are defined as the component (s) of the finished product, ,,Whether the entity conducts its own lab testing or if testing is done by a third party, ,, , ,,"The frequency of testing, including whether or not random sampling is conducted", ,, , ,,Whether the entity has a standard operating procedure (SOP) for verifying compliance with restricted substances regulations as a part of its material selection and approval process, ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.4,"The entity shall describe the scope of the RSL(s) it uses, including whether it:", , ,"Uses separate RSLs to manage legal compliance within each market it operates in or applies a single RSL to products in all markets in which it operates, regardless of whether the RSL contains chemicals that are not be regulated in certain markets.", ,, , ,,Uses one or more RSL that it has independently developed or if it uses an industry-accepted RSL., ,,"• An industry-accepted RSL is defined as an RSL that is promulgated by an industry or trade organization (e.g., American Apparel & Footwear Association (AAFA) RSL , February 2018 | Release 19).", ,,"Uses an RSL that reflects the strictest regulation in all the countries or markets in which the brand operates and sells products (e.g., regulations that apply to manufacturing, marketing, and sales locations).", ,,• Strictest regulation is defined as the lowest allowable concentration of the regulated chemical found in any regulation in all locations worldwide where the chemical is regulated., ,,Uses an RSL that reflects the most restrictive allowable limits in all locations worldwide where the chemicals that may be used in the entity’s products are regulated., ,,"• An example of an RSL that reflects the most restrictive allowable limits worldwide is the AAFA RSL, February 2018 | Release 19.", ,,"Uses one or more RSL that includes voluntary limits or bans of chemicals beyond what is covered in the most restrictive global regulations, or if it includes chemicals that may not be subject to regulation but which the entity has voluntarily chosen to limit or ban from its products.", ,,"• An example of an RSL that includes chemicals that may not be subject to regulation, but which a entity may voluntarily have chosen to limit or ban from its products, is the RSL contained in the AFIRM RSL Guidance.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.5,The entity shall disclose whether the RSL(s) it uses is publicly available and shall disclose its location., , ,"Public disclosure is defined as online disclosure of the full list of chemicals on the RSL, their restriction limits, and the regulations to which the chemicals are subject.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.6,"The entity shall disclose how it enforces compliance with restricted substances regulations within its supply chain, including:", , ,"How it requires its suppliers to demonstrate adherence (i.e., through self-declaration or if the entity includes RSL compliance requirements in supplier contracts/agreements)", ,, , ,,"Which tiers (i.e., Tier 1 or beyond Tier 1) of suppliers the entity directly verifies to be in compliance with restricted substance regulations", ,,"• Tier 1 suppliers are defined as suppliers that transact directly with the entity, such as finished goods manufacturers (e.g., cut and sew facilities).
• Suppliers beyond Tier 1 are the key suppliers to the entity’s Tier 1 suppliers and can include manufacturers, processing plants, and providers of raw materials extraction (e.g., mills, dye houses and washing facilities, sundry manufacturers, tanneries, embroiderers, screen printers, farms, and/or slaughter houses).", ,,How the entity enforces corrective actions when it identifies non-compliance with its RSL(s), ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations,CG-AA-250a.1.7,Disclosures generally correspond to the Sustainable Apparel Coalition's (SAC) Higg Brand & Retail Module., , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.1,"The entity shall discuss the business and operational processes it employs to assess and manage potential risks and hazards associated with materials, chemicals, and substances (hereafter “chemicals”).", , ,"The scope of disclosure excludes chemicals management processes for chemicals used during manufacturing and production processes or that are associated with the production of raw materials or components of its products, but which are not present in finished products, which are addressed through CG-AA-430a.2.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.10,"The entity may identify chemicals found in its finished products that it is targeting for reduction, elimination, or assessment for reasons, as determined by the entity, such as:", , ,There is incomplete and/or insufficient availability of toxicity information such that the entity cannot determine if the chemical is safe for use., ,, , ,,Pending or anticipated regulations may limit or restrict the use of the chemical in the future., ,, , ,,"There is potential for environmental, but not human health, harm that the entity wishes to limit.", ,, , ,,"In response to shifts in market demand or expectations relating to the usage of a specific chemical, class of chemicals, or category of chemicals that may not be regulated but are recognized by the entity as being “of concern” to consumers, customers, regulators, and/or others (such as non-governmental organizations or scientific researchers).", ,, , ,,"Specific chemicals to discuss may include, but are not limited to, those found on the California Department of Toxic Substances Control Priority Product Work Plan.", ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.11,"Where the entity has identified specific chemicals for elimination or substitution, it may discuss the timeline to achieve its goals, identify which products or product lines will be affected by the elimination or substitution, and provide an analysis of progress toward achieving its goals.", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.12,Disclosures generally correspond to the Sustainable Apparel Coalition’s Higg Brand & Retail Module., , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,Consumer Goods,CG-AA,"Apparel, Accessories & Footwear",CG-AA-250a,Management of Chemicals in Products,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products,CG-AA-250a.2.2,"Where chemicals management policies and practices differ significantly by business unit, product category, or geography, the entity shall describe those differences.", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
