Record,Table,Column,Column_Type,Type,Value,Mapped_Column,Mapped_Condition,Mapped_Condition_Type,Mapped_If_Type,Mapped_If,Mapped_Else_Type,Mapped_Else,Mapped_Concat,Mapped_Lookup_Column,Mapped_Lookup_Table,Mapped_Lookup_Fallback,,Id_Table,Id_Column,Id_Lookup,Id_Primary_Key_1_Column,Id_Primary_Key_1_Value,Id_Primary_Key_2_Column,Id_Primary_Key_2_Value,Id_Primary_Key_3_Column,Id_Primary_Key_3_Value
1,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,1,,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 1,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP1 Footnote Number,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP1 Footnote,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 1,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP1_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
1,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP1_Sub Footnote,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,2,,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 2,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP2 Footnote Number,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP2 Footnote,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 2,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP2_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
2,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP2_Sub Footnote,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,3,,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 3,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP3 Footnote Number,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP3 Footnote,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 3,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP3_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
3,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP3_Sub Footnote,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,4,,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 4,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP4 Footnote Number,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP4 Footnote,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 4,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP4_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
4,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP4_Sub Footnote,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,5,,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 5,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP5 Footnote Number,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP5 Footnote,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 5,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP5_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
5,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP5_Sub Footnote,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,6,,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 6,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP6 Footnote Number,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP6 Footnote,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 6,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP6_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
6,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP6_Sub Footnote,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,7,,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 7,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP7 Footnote Number,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP7 Footnote,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 7,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP7_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
7,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP7_Sub Footnote,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,8,,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 8,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP8 Footnote Number,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP8 Footnote,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 8,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP8_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
8,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP8_Sub Footnote,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,9,,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 9,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP9 Footnote Number,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP9 Footnote,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 9,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP9_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
9,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP9_Sub Footnote,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,10,,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 10,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP10 Footnote Number,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,FOOTNOTE,,COLUMN,,TP_BP10 Footnote,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS,,COLUMN,,Sub-Bullet Points for Bullet Point 10,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE_NUMBER,,COLUMN,,TP_BP10_Sub Footnote Number,,,,,,,,,,,,,,,,,,,,
10,technical_protocol_bullet_point_mapped,SUB_BULLET_POINTS_FOOTNOTE,,COLUMN,,TP_BP10_Sub Footnote,,,,,,,,,,,,,,,,,,,,
11,technical_protocol_bullet_point_mapped,BULLET_POINT_ID,,VALUE,11,,,,,,,,,,,,,,,,,,,,,
11,technical_protocol_bullet_point_mapped,NAME,,COLUMN,,Technical Protocol Bullet Point 11,,,,,,,,,,,,,,,,,,,,
11,technical_protocol_bullet_point_mapped,FOOTNOTE_NUMBER,,COLUMN,,TP_BP11 Footnote Number,,,,,,,,,,,,,,,,,,,,
