Table,Column,Column_Type,Type,Value,Mapped_Column,Mapped_Condition,Mapped_Condition_Type,Mapped_If_Type,Mapped_If,Mapped_Else_Type,Mapped_Else,Mapped_Concat,Mapped_Lookup_Column,Mapped_Lookup_Table,Mapped_Lookup_Fallback,Id_Table,Id_Column,Id_Lookup,Id_Primary_Key_1_Column,Id_Primary_Key_1_Value,Id_Primary_Key_2_Column,Id_Primary_Key_2_Value,Id_Primary_Key_3_Column,Id_Primary_Key_3_Value
cml,FACILITY_ID,PK,VALUE,Montara FPSO,,,,,,,,,,,,,,,,,,,,
cml,LOOP_ID,,LOOKUP,,,,,,,,,,Line No,loopIdLookup,UNDEFINED,,,,,,,,,
cml,EQUIPMENT_ID,PK,COLUMN,,Line No,,,,,,,,,,,,,,,,,,,
cml,CML_ID,PK,COLUMN,,Test Point / Dwg Ref,,,,,,,,,,,,,,,,,,,
cml,DAMAGE_MECHANISM_ID,,VALUE,Internal Wall Loss,,,,,,,,,,,,,,,,,,,,
cml,STRATEGY_ID,,VALUE,Internal,,,,,,,,,,,,,,,,,,,,
cml,CML_TYPE,,IF_ELSE,,Location (Elbow / Tee / Straight / Weld etc),Elbow,EQUAL,VALUE,Elbow Thickness,VALUE,Piping Thickness,,,,,,,,,,,,,
cml,DESCRIPTION,,CONCAT,,,,,,,,,"[Location (Elbow / Tee / Straight / Weld etc)],[Feature Type]",,,,,,,,,,,,
cml,POF_COLUMN,,VALUE,LR_LD,,,,,,,,,,,,,,,,,,,,
cml,STATUS,,VALUE,A,,,,,,,,,,,,,,,,,,,,
cml,INSPECTION_STATUS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,ACTION_STATUS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,SELECTED_REMAINING_LIFE_YRS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,SELECTED_END_OF_LIFE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,POF,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,COF,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,CRITICALITY,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,SELECTED_INSPECTION_INTERVAL,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,CML_COMMENTS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,LAST_INSPECTION_REPORT_NO,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,LAST_INSPECTION_DATE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,NEXT_INSPECTION_DATE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,PHOTO,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,TEMPORARY_REPAIR_INSTALLED,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,TEMPORARY_REPAIR_INSTALLED_COMMENTS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,TEMPORARY_REPAIR_DATE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,ESTIMATED_DURATION,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,EQUIPMENT_ACCESS_REQUIREMENTS,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,INSPECTION_CODE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,VIEW_NAME,,VALUE,Wall Loss,,,,,,,,,,,,,,,,,,,,
cml,EXACT_MATCH,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,CLOSEST_MATCH,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,ERROR_CODE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,COLOUR_CODE,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,RESPONSIBLE_SYSTEM,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,ND_MM,,COLUMN,,Line Diameter,,,,,,,,,,,,,,,,,,,
cml,OD_MM,,LOOKUP,,,,,,,,,,Line Diameter,asmeb3610mLookup,/N,,,,,,,,,
cml,MD_MM,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
cml,NWT_MM,,VALUE,\N,,,,,,,,,,,,,,,,,,,,
