Line Number,CML ID,CML Type,Diameter,Spec,Schedule,Diameter_Sch,Event.Comments,Last Date,12 O'Clock,3 O'Clock,6 O'Clock,9 O'Clock,Minimum,Scan Type
350-WF-71815-01F01,CML 33,CML: Elbow,50,1CS,XS,50XS,Only able to take 1 reading due to corrosion,18/05/2015,4.3,,,,4.3,POINT
50-WF-71920-01F01,CML-7,CML: Elbow,40,1CG,160,40160,Does Not Exist,31/12/2015,,,,6.3,6.3,POINT
350-WF-71815-01F01,CML-10,CML: Fitting,400,1CG,80,40080,,11/02/2016,19.7,20.4,20.4,2.5,2.5,RADIAL
350-WF-71815-01F01,CML-189,CML: Fitting,350,1CG,80,35080,,11/02/2016,16.5,15.2,6.6,16,6.6,RADIAL
250-PW-44800-1LC,CML 6,CML: Elbow,250,1LC,XS,250XS,,15/05/2015,1.7,11.3,12.4,11.7,1.7,RADIAL
350-WF-71815-01F01,CML-6,CML: Elbow,50,1LC,80,5080,,7/05/2016,4.6,12.6,4.8,5.8,4.6,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,50,1LC,80,5080,,7/05/2016,5,12,5.4,6.1,5,RADIAL
550-OC-30800-1LC,CML-3,CML: Pipe Length,600,1LC,XS,600XS,,7/05/2016,10,4.3,10.9,11.4,4.3,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,200,01F01,80,20080,,17/02/2016,12.8,12.3,13.1,19.2,12.3,RADIAL
350-WF-71815-01F01,CML-2,CML: Elbow,200,01F01,80,20080,,17/02/2016,13.3,12.8,12.6,19.2,12.6,RADIAL
50-WF-71924-01F01,CML-3,CML: Elbow,50,1CG,80,5080,,3/01/2016,5.7,6.1,11.6,5.9,5.7,RADIAL
50-WF-71927-01F01,CML-1,CML: Elbow,40,1CG,160,40160,,3/01/2016,7.8,5.1,11.2,10.7,5.1,RADIAL
250-WF-71800-01F01,CML -5,CML: Reducing Tee,200,1LC,XS,200XS,,18/06/2015,16.4,13.6,19.5,14.5,13.6,RADIAL
250-OC-33865-1LC,CML-1,CML: Elbow,250,1LC,XS,250XS,,7/05/2016,11.1,17.5,14.7,14.6,11.1,RADIAL
350-WF-71815-01F01,CML-141,CML: Fitting,300,1CG,80,30080,,11/02/2016,14.5,19.6,19.6,19.5,14.5,RADIAL
300-PW-44802-1LC,CML 7,CML: Equal Tee,300,1LC,XS,300XS,,16/05/2015,14.2,11,16.1,10.7,10.7,RADIAL
350-WF-71815-01F01,CML-141,CML: Fitting,300,1CG,80,30080,,11/02/2016,14.5,19.6,19.6,19.5,14.5,RADIAL
250-WF-71813-01F01,CML-4,CML: Reducing Tee,250,01F01,80,25080,,22/02/2016,17.6,18.7,22.8,17.6,17.6,RADIAL
100-DH-56508-1CS,CML -7,CML: Elbow,50,1CS,XS,50XS,,14/06/2015,4.2,4.5,4.1,4.5,4.1,RADIAL
100-DH-56505-1CS,CML -5,CML: Equal Tee,100,1CS,XS,100XS,,14/06/2015,7,8.5,4.5,7.3,4.5,RADIAL
150-CW-33861-1LC,CML 3,CML: Reducing Tee,150,1LC,XS,150XS,,21/06/2015,13,18,12.5,14.9,12.5,RADIAL
450-WS-50804-1LC,CML -31,CML: Equal Tee,450,1LC,XS,450XS,,11/06/2015,16.5,11,13.6,11.6,11,RADIAL
350-WF-71815-01F01,CML-33,CML: Elbow,65,01F01,80,6580,,27/08/2015,3.9,7.2,8.4,9.5,3.9,RADIAL
350-WF-71815-01F01,CML-86,CML: Elbow,350,1CG,80,35080,,11/02/2016,17.5,19.5,22.9,21.1,17.5,RADIAL
250-PW-44800-1LC,CML 1,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,12.7,17.7,16.7,17.8,12.7,RADIAL
250-PW-44800-1LC,CML 1,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,12.7,17.7,16.7,17.8,12.7,RADIAL
450-WS-50804-1LC,CML -10,CML: Equal Tee,450,1LC,XS,450XS,,11/06/2015,17.5,12.4,14.8,12.6,12.4,RADIAL
125-WC-40836-1CG,CML-7,CML: Elbow,125,1CG,80,12580,,28/08/2015,9.4,10.4,9,10.8,9,RADIAL
550-OC-33802-1LC,CML-6,CML: Pipe Length,500,1LC,XS,500XS,Nominal diameter actually 550,6/10/2015,12.7,12.1,12,7.6,7.6,RADIAL
200-WS-50822-1CG,CML-2,CML: Elbow,200,01F01,80,20080,,21/02/2016,16,14,12.1,17.5,12.1,RADIAL
350-WF-71815-01F01,CML-86,CML: Elbow,350,1CG,80,35080,,11/02/2016,17.5,19.5,22.9,21.1,17.5,RADIAL
350-WF-71815-01F01,CML-69,CML: Reducing Tee,400,1CG,80,40080,,11/02/2016,27.4,27.1,27.3,22.8,22.8,RADIAL
250-PW-44800-1LC,CML 2,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,13.8,17.8,13.9,17.8,13.8,RADIAL
250-PW-44800-1LC,CML 2,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,13.8,17.8,13.9,17.8,13.8,RADIAL
150-CW-33847-1LC,CML-1,CML: Equal Tee,600,1LC,XS,600XS,,7/05/2016,10.9,16.1,12.8,14.6,10.9,RADIAL
350-WF-71815-01F01,CML-69,CML: Reducing Tee,400,1CG,80,40080,,11/02/2016,27.4,27.1,27.3,22.8,22.8,RADIAL
350-WF-71815-01F01,CML-2,CML: Elbow,100,1CG,40,10040,Low Reading's Noted,7/06/2015,6.1,2.5,2,5.8,2,RADIAL
350-WF-71815-01F01,CML-5,CML: Elbow,80,01F01,80,8080,,16/02/2016,8.9,6.8,9.9,11.5,6.8,RADIAL
500-WS-50813-1LC,CML -12,CML: Equal Tee,500,1LC,XS,500XS,,12/06/2015,11.8,16.7,15.3,13.4,11.8,RADIAL
550-OC-33802-1LC,CML-10,CML: Pipe Length,500,1LC,XS,500XS,Nominal diameter actually 550,6/10/2015,12.7,8.1,12.1,12.2,8.1,RADIAL
100-DH-56507-1CS,CML -5,CML: Equal Tee,100,1CS,XS,100XS,,14/06/2015,4.9,9.7,8.2,8.8,4.9,RADIAL
300-WS-50806-1LC,CML -13,CML: Elbow,300,1LC,XS,300XS,,12/06/2015,12.9,14.2,17,17,12.9,RADIAL
150-DH-56801-1CS,CML -3,CML: Elbow,100,1CS,XS,100XS,,15/06/2015,10.7,9.9,5.4,10.6,5.4,RADIAL
150-DH-56801-1CS,CML -3,CML: Elbow,100,1CS,XS,100XS,,15/06/2015,10.7,9.9,5.4,10.6,5.4,RADIAL
50-WF-71953-01F01,CML-4,CML: Reducing Tee,50,1CG,80,5080,,18/01/2016,11.8,16,14.8,15.9,11.8,RADIAL
350-WF-71815-01F01,CML-120,CML: Equal Tee,300,1CG,80,30080,,11/02/2016,19.5,19.5,19.5,15.7,15.7,RADIAL
250-WS-50836-1CG,CML-3,CML: Equal Tee,100,1CS,40,10040,,2/06/2015,11.5,8.4,,8,8,RADIAL
350-WF-71815-01F01,CML-120,CML: Equal Tee,300,1CG,80,30080,,11/02/2016,19.5,19.5,19.5,15.7,15.7,RADIAL
350-WF-71824-01F01,CML-13,CML: Elbow,350,01F01,XS,350XS,,5/03/2016,23.2,19.4,21.1,23.2,19.4,RADIAL
50-DO-62809-1CS,CML-2,CML: Elbow,50,1CS,,50,"No isometric drawing on system, Unable to confirm NWT",31/05/2016,5.3,5,5.4,4.8,4.8,RADIAL
350-WF-71824-01F01,CML-14,CML: Pipe Length,350,01F01,XS,350XS,,5/03/2016,23.3,20.7,23.1,19.6,19.6,RADIAL
500-WS-50824-1LC,CML -3,CML: Elbow,500,,80,50080,,10/06/2015,24.2,23.7,27.5,23.7,23.7,RADIAL
350-WF-71815-01F01,CML-6,CML: Elbow,40,1CG,,40,"No iso on system, cannot confirm nominal wall thickness",7/03/2016,8.1,7,8.2,11.2,7,RADIAL
100-WF-71914-01F01,CML-15,CML: Reducing Tee,100,1CG,80,10080,,31/12/2015,9.4,9.4,9.4,13,9.4,RADIAL
350-WF-71815-01F01,CML-242,CML: Elbow,50,1CG,80,5080,,11/02/2016,5.4,6.1,9.4,6.2,5.4,RADIAL
150-CW-33833-1LC,CML -1,CML: Reducing Tee,125,1CS,XS,125XS,,16/06/2015,14.6,13.3,12.8,16.8,12.8,RADIAL
350-WF-71815-01F01,CML-242,CML: Elbow,50,1CG,80,5080,,11/02/2016,5.4,6.1,9.4,6.2,5.4,RADIAL
65-WF-71856-01F01,CML-9,CML: Equal Tee,65,01F01,80,6580,,16/02/2016,17.2,20.6,21,20.6,17.2,RADIAL
