FACILITY_ID,LOOP_ID,EQUIPMENT_ID,CML_ID,INSPECTION_ID,STRATEGY_ID,DAMAGE_MECHANISM_ID,INSPECTION_STATUS,REMEDIATION_STATUS,INSPECTION_DATE,INSPECTION_REPORT_NUMBER,CML_TYPE,SCOPE_COMMENTS,PRELIMINARY_RECOMMENDATIONS,INSPECTION_SCOPE,WORK_ORDER,INSPECTOR_NAME,INPECTION_COMPANY,PHOTO,INSPECTION_COMMENTS,ERROR_CODE,COLOUR_CODE,RESPONSIBLE_SYSTEM,CORROSION_LEVEL,COMPLIANCE,SAMPLE_VALUE,NOMINAL_WALL_THICKNESS_MM,MANUAL_MIN_RWT,MIN_REMAINING_WALL_THICKNESS_MM,WALL_LOSS_MM,SERVICE_YEARS,CORROSION_RATE_SHORT_TERM_MM_YR,CORROSION_RATE_LONG_TERM_MM_YR,OPERATING_TEMPERATURE,COATING_CONDITION,INSULATION_CONDITION,INSULATION_TYPE,HEAT_TRACING,EXTERNAL_ENVIRONMENT,CUI_VALUE,PSV_ASSOC_EQUIP_HAZ_D_OR_E,PSV_CAN_OVER_PRESSURE,PSV_DESIGN_CASE,PSV_EQUIP_FAIL_REPORT_INCIDENT,PSV_COF,PSV_FAIL_TO_DANGER,PSV_NEW_APP_TYPE_SERVICE,PSV_FAIL_NOT_TO_DANGER,PSV_FAIL_LAST_THREE,PSV_POF,PSV_MAY_FAIL_IF_INTERVAL_INCREASED,PSV_INTVL_CHANGE_ALLOW,APPLIED_PSV_INSPECTION_INTERVAL,APPLIED_PSV_INSPECTION_INTERVAL_COMMENTS,GRID_MIN_RWT,AVERAGE_WT,COUNT_10_PERCENT_LOSS,COUNT_20_PERCENT_LOSS,COUNT_30_PERCENT_LOSS,COUNT_40_PERCENT_LOSS,COUNT_50_PERCENT_LOSS,COUNT_60_PERCENT_LOSS,COUNT_70_PERCENT_LOSS,COUNT_80_PERCENT_LOSS,COUNT_90_PERCENT_LOSS,COUNT_100_PERCENT_LOSS
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57035-01C02,1,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2997,NULL,04001,pink,NULL,NULL,NULL,NULL,6,6.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57035-01C02,2,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2998,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57035-01C02,3,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2999,"Below Spec",04001,pink,NULL,NULL,NULL,NULL,6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57035-01C02,4,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000,"Below Spec",04001,pink,NULL,NULL,NULL,NULL,6,5.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57035-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3001,NULL,04001,pink,NULL,NULL,NULL,NULL,6,6.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,1,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3002,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,2,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3003,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,3,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3004,"Below Spec",04001,pink,NULL,NULL,NULL,NULL,6,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,4,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3005,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3006,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
