FACILITY_ID,LOOP_ID,EQUIPMENT_ID,CML_ID,INSPECTION_ID,STRATEGY_ID,DAMAGE_MECHANISM_ID,INSPECTION_STATUS,ACTION_STATUS,INSPECTION_DATE,INSPECTION_REPORT_NUMBER,CML_TYPE,SCOPE_COMMENTS,PRELIMINARY_RECOMMENDATIONS,INSPECTION_SCOPE,WORK_ORDER,INSPECTOR_NAME,INPECTION_COMPANY,PHOTO,INSPECTION_COMMENTS,EXACT_MATCH,CLOSEST_MATCH,ERROR_CODE,COLOUR_CODE,RESPONSIBLE_SYSTEM,NOMINAL_WALL_THICKNESS_MM,MANUAL_MIN_RWT,MIN_REMAINING_WALL_THICKNESS_MM,WALL_LOSS_MM,SERVICE_YEARS,CORROSION_RATE_SHORT_TERM_MM_YR,CORROSION_RATE_LONG_TERM_MM_YR,OPERATING_TEMPERATURE,COATING_CONDITION,INSULATION_CONDITION,INSULATION_TYPE,HEAT_TRACING,EXTERNAL_ENVIRONMENT,CUI_VALUE,PSV_ASSOC_EQUIP_HAZ_D_OR_E,PSV_CAN_OVER_PRESSURE,PSV_DESIGN_CASE,PSV_EQUIP_FAIL_REPORT_INCIDENT,PSV_COF,PSV_FAIL_TO_DANGER,PSV_NEW_APP_TYPE_SERVICE,PSV_FAIL_NOT_TO_DANGER,PSV_FAIL_LAST_THREE,PSV_POF,PSV_MAY_FAIL_IF_INTERVAL_INCREASED,PSV_INTVL_CHANGE_ALLOW,APPLIED_PSV_INSPECTION_INTERVAL,APPLIED_PSV_INSPECTION_INTERVAL_COMMENTS,GRID_MIN_RWT,AVERAGE_WT,COUNT_10_PERCENT_LOSS,COUNT_20_PERCENT_LOSS,COUNT_30_PERCENT_LOSS,COUNT_40_PERCENT_LOSS,COUNT_50_PERCENT_LOSS,COUNT_60_PERCENT_LOSS,COUNT_70_PERCENT_LOSS,COUNT_80_PERCENT_LOSS,COUNT_90_PERCENT_LOSS,COUNT_100_PERCENT_LOSS
Montara FPSO,UNDEFINED,100-CW-33821-1LC,1,1,Internal,Internal Wall Loss,A,,18/06/2015,,Elbow Thickness,,,,,,,5662,,,,13001,"255,255,255,1",,9.525,8.7,8.7,0.825,2.46027,0.335328,0.335328,,,,,,,,,,,,,,,,,,,,,,8.7,9.825,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33821-1LC,2,1,Internal,Internal Wall Loss,A,,18/06/2015,,Elbow Thickness,,,,,,,5663,,,,13001,"255,255,255,1",,9.525,10,10,-0.475,2.46027,-0.193068,-0.193068,,,,,,,,,,,,,,,,,,,,,,10,10.25,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33822-1LC,1,1,Internal,Internal Wall Loss,A,,18/06/2015,,Elbow Thickness,,,,,,,5664,,,,13001,"255,255,255,1",,8.56,8.6,8.6,-0.04,2.46027,-0.0162583,-0.0162583,,,,,,,,,,,,,,,,,,,,,,8.6,9.2,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33822-1LC,2,1,Internal,Internal Wall Loss,A,,18/06/2015,,Piping Thickness,,,,,,,5665,,,,13001,"255,255,255,1",,10.973,11,11,-0.0270004,2.46027,-0.0109746,-0.0109746,,,,,,,,,,,,,,,,,,,,,,11,11.45,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33854-1LC,1,1,Internal,Internal Wall Loss,A,,24/06/2015,,Piping Thickness,,,,,,,5666,,,,13001,"255,255,255,1",,8.56,8.1,8.1,0.46,2.47671,0.18573,0.18573,,,,,,,,,,,,,,,,,,,,,,8.1,9.35,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33854-1LC,2,1,Internal,Internal Wall Loss,A,,24/06/2015,,Elbow Thickness,,,,,,,5667,,,,13001,"255,255,255,1",,8.56,8.2,8.2,0.360001,2.47671,0.145354,0.145354,,,,,,,,,,,,,,,,,,,,,,8.2,8.375,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33863-1LC,10,1,Internal,Internal Wall Loss,A,,25/06/2015,,Piping Thickness,,,,,,,5671,,,,13001,"255,255,255,1",,8.56,8.8,8.8,-0.24,2.47945,-0.0967955,-0.0967955,,,,,,,,,,,,,,,,,,,,,,8.8,9.125,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33863-1LC,11,1,Internal,Internal Wall Loss,A,,25/06/2015,,Elbow Thickness,,,,,,,5672,,,,13001,"255,255,255,1",,8.56,8,8,0.56,2.47945,0.225857,0.225857,,,,,,,,,,,,,,,,,,,,,,8,8.625,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33863-1LC,7,1,Internal,Internal Wall Loss,A,,25/06/2015,,Piping Thickness,,,,,,,5668,,,,13001,"255,255,255,1",,8.56,7.7,7.7,0.860001,2.47945,0.346851,0.346851,,,,,,,,,,,,,,,,,,,,,,7.7,8.575,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-CW-33863-1LC,8,1,Internal,Internal Wall Loss,A,,25/06/2015,,Elbow Thickness,,,,,,,5669,,,,13001,"255,255,255,1",,4.547,6.8,6.8,-2.253,2.47945,-0.908669,-0.908669,,,,,,,,,,,,,,,,,,,,,,6.8,7.825,0,0,0,0,0,0,0,0,0,0
