LOOKUP_VALUE,LOOKUP_RESULT
0100-AI-63L9004-AS20-00,FPSO-CL-TS-AD-02
0100-AS-63L9001-AS20-00,FPSO-CL-TS-AD-02
0100-AS-63L9002-AS20-00,FPSO-CL-TS-AD-02
0100-AS-63L9005-AS20-00,FPSO-CL-TS-AD-02
0100-DC-57L9001-AS20-00,FPSO-CL-TS-DC-03
0100-DC-57L9002-AS20-00,FPSO-CL-TS-DC-03
0100-DC-57L9002-AS20-E-25,FPSO-CL-TS-DC-03
0100-DC-57L9003-AS20-00,FPSO-CL-TS-DC-03
0100-DC-57L9005-AS20-E-25,FPSO-CL-TS-DC-03
0100-GN-67L9000-AS20-00,FPSO-CL-TS-GN-02
0100-VA-43L9001-AS20-00,FPSO-CL-TS-VA-02
0100-VA-43L9002-AS20-00,FPSO-CL-TS-VA-02
0100-WF-71L9005-AK11-00,FPSO-CL-TS-WF-01
0100-WZ-53L9001-AS20-00,FPSO-CL-TS-WD-03
0100-WZ-53L9002-AS20-00,FPSO-CL-TS-WD-03
0200-AI-63L9003-AS20-00,FPSO-CL-TS-AD-02
0200-DC-57L9006-AC21-00,FPSO-CL-TS-DC-01
0200-DC-57L9008-AS20-00,FPSO-CL-TS-DC-03
0200-DC-57L9008-AS20-E-25,FPSO-CL-TS-DC-03
0200-DH-56L9003-AC21M-00,FPSO-CL-TS-DC-01
0200-DN-56L9004-AC21M-00,FPSO-CL-TS-DN-01
0200-VA-43L9000-AC21-00,FPSO-CL-TS-VA-01
0200-VA-43L9004-AC21-00,FPSO-CL-TS-VA-01
0200-WS-50L9000-AG70-00,FPSO-CL-TS-WS-02
0200-WS-50L9001-AG70-00,FPSO-CL-TS-WS-02
0200-WZ-53L9000-AS20-00,FPSO-CL-TS-WD-03
0300-WF-71L9002-AK11-00,FPSO-CL-TS-WF-01
0300-WF-71L9003-AK11-00,FPSO-CL-TS-WF-01
0300-WF-71L9004-AK11-00,FPSO-CL-TS-WF-01
0400-WF-71L9001-AK11-00,FPSO-CL-TS-WF-01
0600-DH-56L9000-AC21M-00,FPSO-CL-TS-DC-01
0600-WF-71L9000-AK11-00,FPSO-CL-TS-WF-01
0600-WF-XXXXXXX-AK11-00,FPSO-CL-TS-WF-01
"1""-AI-XXXXX-01E01",FPSO-CL-TS-AD-01
"1.5"" AFFF",FPSO-CL-TS-WF-02
100-DC-57035-01C02,FPSO-CL-TS-DC-01
100-DC-57036-01C02,FPSO-CL-TS-DC-01
100-DC-57037-01C02,FPSO-CL-TS-DC-01
100-DC-57038-01C02,FPSO-CL-TS-DC-01
100-DC-57075-01C02,FPSO-CL-TS-DC-01
100-DC-57307-01C03,FPSO-CL-TS-DC-02
100-DH-56009-01C02,FPSO-CL-TS-DH-01
100-DH-56082-01C02,FPSO-CL-TS-DH-01
100-DH-56083-01C02,FPSO-CL-TS-DH-01
100-DH-56084-01C02,FPSO-CL-TS-DH-01
100-DH-56086-01C02,FPSO-CL-TS-DH-01
100-DH-56087-01C02,FPSO-CL-TS-DH-01
100-DH-56088-01C02,FPSO-CL-TS-DH-01
100-DH-56561-01C02,FPSO-CL-TS-DH-01
100-DN-56089-01C02,FPSO-CL-TS-DN-01
100-FG-45001-09C02,FPSO-CL-TS-PG-08
100-FG-45006-03C02-E,FPSO-CL-TS-FG-02
100-FG-45007-03C02-E,FPSO-CL-TS-FG-02
100-FG-45008-03C02-E,FPSO-CL-TS-FG-02
100-FG-45017-03C02,FPSO-CL-TS-FG-04
100-FG-45022-01C02,FPSO-CL-TS-FG-01
100-FG-45032-03C02,FPSO-CL-TS-FG-04
100-FG-45041-01C02,FPSO-CL-TS-FG-01
100-FG-45043-03C02-E,FPSO-CL-TS-FG-02
100-FG-45047-03C02-E,FPSO-CL-TS-FG-02
100-FG-45304-03C02,FPSO-CL-TS-FG-06
100-FG-45305-03C02,FPSO-CL-TS-FG-06
100-FG-45504-03C02-E,FPSO-CL-TS-FG-02
100-FG-45507-03C02-E,FPSO-CL-TS-FG-02
100-FH-43035-01C02,FPSO-CL-TS-FH-01
100-FH-43036-01C02,FPSO-CL-TS-FH-01
100-FH-43075-01C02,FPSO-CL-TS-FH-01
100-FH-43100-01C02,FPSO-CL-TS-FH-01
100-FH-43101-01C02,FPSO-CL-TS-FH-01
100-FH-43102-01C02,FPSO-CL-TS-FH-01
100-FH-43104-01C02,FPSO-CL-TS-FH-01
100-FH-43105-01C02,FPSO-CL-TS-FH-01
100-FH-43106-01C02,FPSO-CL-TS-FH-01
100-FH-43126-01C02,FPSO-CL-TS-FH-01
100-FH-43142-01C02,FPSO-CL-TS-FH-01
100-FH-43144-01C02,FPSO-CL-TS-FH-01
100-FH-43147-01C02,FPSO-CL-TS-FH-01
100-FH-43507-01C02,FPSO-CL-TS-FH-01
100-FL-43154-01C02,FPSO-CL-TS-FL-01
100-FL-43455-01C02-P,FPSO-CL-TS-FL-02
100-OC-33908-XXX,FPSO-CL-MA-OC-02
100-OL-69001-01S01,FPSO-CL-TS-OL-01
100-OL-69002-01S01,FPSO-CL-TS-OL-01
100-PG-20056-01C03-P,FPSO-CL-TS-PG-01
100-PG-23028-25C02-P,FPSO-CL-TS-PG-08
100-PG-23049-25C02-P,FPSO-CL-TS-PG-08
100-PG-23071-01C03,FPSO-CL-TS-PG-01
